Dataset,Model,MAE,RMSE,R2 Score
Combined,random_forest,91.32047601118272,197.18711593181217,0.7481211983110776
Combined,linear_regression,132.84954173121034,229.16062202508755,0.6598154909986662
Plant_1,random_forest,29.970357521944496,60.416707303307305,0.974776290559412
Plant_1,linear_regression,42.63350561135056,71.04278696105219,0.9651233446155454
Plant_2,random_forest,146.59096770369266,267.8137271336254,0.5337026931382427
Plant_2,linear_regression,203.14862010689038,293.61618884571,0.4395237239329265
