Feature,Importance
IRRADIATION,0.9934039523611363
MODULE_TEMPERATURE,0.002475523413204353
AMBIENT_TEMPERATURE,0.0017108544410427001
HOUR,0.0012677754293349442
DAY_OF_WEEK,0.0007966289018540431
MONTH,0.0003452654534276462
