Feature,Importance
IRRADIATION,0.9186015585258722
AMBIENT_TEMPERATURE,0.03487705443263806
MODULE_TEMPERATURE,0.020682189674297306
MONTH,0.010284921808066779
HOUR,0.008484524177800809
DAY_OF_WEEK,0.007069751381324945
