Feature,Importance
IRRADIATION,0.90142231964236
MODULE_TEMPERATURE,0.028533933162573386
AMBIENT_TEMPERATURE,0.026457014283231765
DAY_OF_WEEK,0.01741028010544615
MONTH,0.017392498151137265
HOUR,0.008783954655251487
